Title,Content
"Headline



Mendagri Ungkap Modus Pemerintah Daerah Boroskan Anggaran, Gemar Rapat di Hotel padahal Bisa di Kantor
09/03/2023, 15:19 WIB","JAKARTA, KOMPAS.com - Menteri Dalam Negeri (Mendagri) Tito Karnavian menyentil perangai jajaran pemerintah daerah yang kerap menggelar rapat di hotel atau luar kota.
Dia menyebut kebiasaan itu merupakan pemborosan anggaran. Apalagi, rapat sedianya masih bisa dilaksanakan di kantor.
“Banyak sekali daerah-daerah yang melakukan rapat di luar, di hotel segala macam, apalagi di luar kota dikit,” kata Tito dalam acara Penandatanganan Komitmen Pelaksanaan Aksi Pencegahan Korupsi 2023-2024 di kantor Kementerian PPN/Bappenas, Jakarta, Kamis (9/3/2023).
Tito mengungkap, jajaran pemerintah daerah gemar menggelar rapat di luar kantor supaya mendapat uang perjalanan dinas.
Baca juga: Tito Karnavian Ingatkan Penjabat Kepala Daerah agar Tak Korupsi
Padahal, uang yang dipakai untuk rapat di hotel atau luar kota tersebut sebenarnya bisa dimanfaatkan untuk kepentingan lain.
“Sebenarnya bisa dilakukan di dalam gedung di kantor. Risikonya ya nggak dapat SPJ (surat pertanggungjawaban), tapi uangnya bisa digunakan untuk yang lain sebetulnya. Termasuk untuk kesejahteraan anggota, personel,” ujar Tito.
Menurut Tito, perbuatan ini tak bisa ditindak oleh aparat penegak hukum (APH) lantaran tak menyalahi aturan apa pun.
Namun, Aparat Pengawas Intern Pemerintah (APIP) bisa menindaklanjutinya sebagai dugaan pemborosan anggaran.
“Apakah ini bisa diatasi oleh APH? Nggak akan bisa, karena nggak ada yang salah aturannya. Tapi APIP bisa masuk, ini pemborosan,” ujar Tito.

Tito menyebut, APIP punya peran penting mengawasi internal pemerintah daerah. Sebab, ada ruang-ruang di internal pemerintahan yang tak bisa diawasi oleh aparat penegak hukum, khususnya terkait kebijakan.
Contohnya, dalam proyek pembuatan jalan di suatu kampung, jalan yang perlu dibangun hanya selebar 10 meter. Namun, praktiknya, jalan dibuat dengan lebar 20 meter.
Memang, kata Tito, tak ada yang salah dengan itu. Namun, sebetulnya, anggaran yang dipakai untuk membuat jalan 20 meter tersebut sebagian bisa dipakai untuk kepentingan pembangunan di daerah lain.
Tito mengatakan, aparat penegak hukum tak bisa menindak lantaran pembangunan itu bagian dari pelaksanaan kebijakan yang wewenangnya berada di tangan kepala daerah.
Baca juga: Firli Sebut 8 Kepala Daerah di Papua Jadi Tersangka Korupsi sejak 2008-2022
Namun, APIP sangat mungkin turun tangan dengan dalih pembangunan tersebut merupakan pemborosan.
""APH gak akan bisa masuk di sini karena apa, karena nggak ada yang dilanggar, ini adalah policy, kebijakan dari kepala daerah dan mereka memiliki kewenangan untuk itu, membuat jalan lebarnya 10 (meter), 20 (meter) itu suka-suka dia, sesuai dengan visi politiknya, janji kampanye, dan lain-lain. Tapi APIP bisa masuk, ini pemborosan,"" kata dia.
Tito mengatakan, APIP berperan menginventarisasi potensi masalah atau moral hazard potensi korupsi di jajaran pemerintah daerah, termasuk melakukan langkah-langkah pencegahan.
Mantan Kapolri itu bilang, pengawasan internal perlu diperkuat dan pemeritahan harus dipastikan terbuka guna mencegah terjadinya penyalahgunaan.
“Perlu dorongan political wish dari para kepala daerah para pimpinan daerah, ini penting sekali political wish untuk membuat sistem itu menjadi terbuka,” tutur dia.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel."
"Headline



Takut Dinyatakan Korupsi, Bank Sulselbar Tak Bisa Ganti Tabungan Rp 1 Miliar Nasabah di Mamuju yang Raib
09/03/2023, 15:24 WIB","MAMUJU, KOMPAS.com - Bank Sulselbar Cabang Mamuju menyatakan tak akan mengganti dana tabungan sebesar Rp 1 miliar dari enam nasabah yang raib usai diduga ditilap mantan pegawainya berinisial H sejak tahun 2022 lalu. 
Kepala Cabang Bank Sulselbar Mamuju Amri Mahmud mengatakan, bahwa penggantian tak bisa dilakukan pihaknya lantaran tabungan nasabah yang raib tersebut tidak tercatat di dalam sistem rekening bank. 
Hal itu membuat pihaknya kesulitan mengganti mengingat tidak memiliki landasan hukum. 
""Yang tidak tercatat kami tidak bisa identifikasi, nanti kami dikira membayar tanpa dasar, nanti bisa dinyatakan korupsi,"" ujar Amri, kepada Kompas.com melalui telepon, Kamis (9/3/2022). 
Baca juga: Kasus Raibnya Tabungan Nasabah Bank Sulselbar, Polisi Selidiki Keterlibatan Pihak Lain
Amri mengatakan, bahwa 31 nasabah lain yang telah mendapatkan pengembalian dana dari Bank Sulselbar karena sebelumnya tercatat di sistem bank. 
Pengembalian itu sudah sesuai dengan aturan dari pihak otoritas jasa keuangan (OJK).
Sementara itu, keenam nasabah, kata Amri, yang tidak mengalami penggantian karena hal itu merupakan tanggung jawab pribadi H. 
Untuk dia menyarankan keenam naaabah untuk menempuh jalur hukum jika ingin dana tabungannya diganti H. 
""Siapa tahu dari aset H yang disita itu bisa digunakan untuk kembalikan uang mereka,"" kata Amri. 
Sementara itu, salah satu nasabah yang belum menerima pengembalian bernama Nurmi mengaku kecewa dengan keputusan Bank Sulselbar Mamuju yang seakan lepas tangan dari kasus penipuan yang melibatkan karyawan mereka. 
Nurmi ragu pihak Bank Sulselbar tidak mengetahui kejahatan yang dilakukan oleh H mengingat setiap kali dia menyetor dana untuk ditabung, Nurmi selalu melakukannya di kantor Bank Sulselbar. 
Baca juga: Nasabah Tuntut Bank Sulselbar Mamuju Kembalikan Sisa Dana yang Raib Rp 1 Miliar
""Memang H pelakunya, tapi dia berbuat seperti itu karena dia karyawan bank baru dia atas namakan bank. Seandainya bukan pegawai bank, tidak mungkin kami mau dipengaruhi seperti itu,"" ujar Nurmi. 
Nurmi juga mengungkapkan kekecewaannya dikarenakan pihak bank Sulselbar seakan tidak menemukan kejanggalan cara H merekrut nasabah untuk mengikuti program tabungan di Bank Sulselbar."
"Headline



Diputus PTUN Tak Berhak Ikut Pemilu 2024, Prima Layangkan Peninjauan Kembali ke MA 
09/03/2023, 14:20 WIB","JAKARTA, KOMPAS.com - Partai Rakyat Adil Makmur (Prima) juga tengah menempuh Peninjauan Kembali (PK) ke Mahkamah Agung atas putusan Pengadilan Tata Usaha Negara (PTUN) Jakarta 468/G/SPPU/2022/PTUN.JKT. Putusan PTUN itu dibacakan pada 19 Januari 2023,  yang pada intinya, menolak gugatan sengketa yang dilayangkan Prima atas Komisi Pemilihan Umum (KPU). Gugatan tersebut dilayangkan karena Prima tidak dapat lolos verifikasi administrasi sebagai peserta Pemilu 2024. Perkara ini berbeda dengan yang ditangani di Pengadilan Negeri Jakarta Pusat, di mana gugatan perdata Prima atas KPU dikabulkan seluruhnya. ""Iya, betul (mengajukan PK). Sekitar tanggal 2 atau 3 Februari,"" kata Wakil Ketua Umum Prima Alif Kamal, kepada Kompas.com pada Kamis (9/3/2023).
Baca juga: Prima Kritik Mahfud soal Putusan PN Jakpus: Nafsu dan Tidak Teliti Alif menyatakan bahwa PK ini diajukan hanya karena Prima masih ingin mencari keadilan. Prima disebut merasa belum mendapatkan rasa keadilan yang seharusnya diterima. Alif menambahkan, pihaknya juga merasa telah mengantongi bukti yang kuat untuk menang gugatan atas KPU. Bukti tersebut kurang lebih sama, yang belakangan dipertimbangkan oleh majelis hakim Pengadilan Negeri Jakarta Pusat (PN) pada gugatan yang berbeda untuk memenangkan Prima atas KPU. ""Seharusnya dengan beberapa bukti yang kami lampirkan, majelis hakim bisa memutuskan Prima untuk bisa ikut dalam proses Pemilu 2024,"" kata Alif. Ketua KPU RI Hasyim Asy'ari menyampaikan bahwa mereka juga akan meladeni upaya PK yang ditempuh oleh Prima atas putusan PTUN Jakarta di MA. ""Kami juga dalam waktu bersamaan menyiapkan, apa istilahnya, kontra memori Peninjauan Kembali. Ini sedang kita siapkan,"" ujar Hasyim, Kamis.
Baca juga: Pembelaan Partai Prima Usai Jadi Bulan-bulanan, Tolak Disebut Ingin Tunda Pemilu Gugatan nomor 468/G/SPPU/2022/PTUN.JKT yang diajukan Prima ke PTUN Jakarta pada 26 Desember 2022 merupakan gugatan sengketa kedua mereka  atas KPU ke PTUN. Gugatan pertama dilayangkan pada 30 November 2022 dan  dinyatakan tidak dapat diterima PTUN . Dalam gugatan sengketa keduanya ini, Prima ingin agar PTUN memerintahkan KPU mencabut berita acara tentang penetapan partai politik peserta Pemilu 2024 dan berita acara itu dinyatakan batal. Mereka juga ingin agar PTUN memerintahkan KPU supaya menerbitkan berita acara baru yang intinya menyatakan Prima sebagai peserta Pemilu 2024.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel."
"Headline



Alasan Anak Korban Kebakaran Depo Plumpang Tanda Tangani Surat Pernyataan Tak Tuntut Pertamina
09/03/2023, 14:27 WIB","JAKARTA, KOMPAS.com - Anak mendiang Iriana (61), Irianto (45) mengungkapkan alasan adiknya menandatangani surat pernyataan yang diduga dari PT Pertamina (Persero).
Sebagai informasi, Iriana merupakan salah satu korban yang meninggal dunia akibat kebakaran Depo Pertamina Plumpang pada Jumat (3/3/2023).
Saat adik Irianto tengah mengurus jenazah Iriana di Rumah Sakit Polri, Kramat Jati, Jakarta Timur pada Minggu (5/3/2023), ia disodorkan surat pernyataan.
Baca juga: Kisruh Surat Tak Tuntut Pertamina soal Kebakaran Depo Plumpang, Keluarga Korban Kecewa dan Menentang
Surat pernyataan tersebut berisi penerimaan uang yang disebut santunan senilai Rp 10 juta dan agar tidak menuntut PT Pertamina (Persero) atas peristiwa mengerikan tersebut.
""Kan yang waktu saya bilang pas wawancara, itu serangan psikologi, itu kalau kata orang kepolisian mah. Ya kan (dalam kondisi) lelah fisik, lelah mental,"" ucap Irianto saat ditemui di RT 06 RW 01, Rawa Badak Selatan, Koja, Jakarta Utara pada Rabu (9/3/2023).
Karena banyaknya pikiran tentang biaya pemakaman Iriana, kata Irianto, adiknya tersebut langsung menandatangani tanpa membaca isi surat pernyataan tersebut.
""Banyak pikiran tentang duit juga untuk biaya pemakaman, enggak punya, namanya kebakaran kan habis semua, enggak punya apa-apa. Kan butuh dana, orang kuburin kan harus punya dana nya. Dikasih duit, kan lumayan. Istilahnya buat bantu pemakaman,"" ungkap Irianto.
Setelah mengetahui isi dari surat pernyataan tersebut, Irianto mengingat bahwa ia dan keluarganya sangat kecewa dengan Pertamina.
Baca juga: Kegeraman Keluarga Korban Tewas Kebakaran Plumpang Usai Disodori Surat Pernyataan Tak Tuntut Pertamina
Pasalnya, kata Irianto, Pertamina pandai memanfaatkan celah korban kebakaran ini.
""Dia ngomong baik (saat menyodorkan surat pernyataan), ngomong 'jangan percaya omongan di luar'. Ya namanya orang fasih kalau buat lobby, cara ngomong, bisalah,"" tutur Irianto."
"Mendagri Ungkap Modus Pemerintah Daerah Boroskan Anggaran, Gemar Rapat di Hotel padahal Bisa di Kantor","JAKARTA, KOMPAS.com - Menteri Dalam Negeri (Mendagri) Tito Karnavian menyentil perangai jajaran pemerintah daerah yang kerap menggelar rapat di hotel atau luar kota.
Dia menyebut kebiasaan itu merupakan pemborosan anggaran. Apalagi, rapat sedianya masih bisa dilaksanakan di kantor.
“Banyak sekali daerah-daerah yang melakukan rapat di luar, di hotel segala macam, apalagi di luar kota dikit,” kata Tito dalam acara Penandatanganan Komitmen Pelaksanaan Aksi Pencegahan Korupsi 2023-2024 di kantor Kementerian PPN/Bappenas, Jakarta, Kamis (9/3/2023).
Tito mengungkap, jajaran pemerintah daerah gemar menggelar rapat di luar kantor supaya mendapat uang perjalanan dinas.
Baca juga: Tito Karnavian Ingatkan Penjabat Kepala Daerah agar Tak Korupsi
Padahal, uang yang dipakai untuk rapat di hotel atau luar kota tersebut sebenarnya bisa dimanfaatkan untuk kepentingan lain.
“Sebenarnya bisa dilakukan di dalam gedung di kantor. Risikonya ya nggak dapat SPJ (surat pertanggungjawaban), tapi uangnya bisa digunakan untuk yang lain sebetulnya. Termasuk untuk kesejahteraan anggota, personel,” ujar Tito.
Menurut Tito, perbuatan ini tak bisa ditindak oleh aparat penegak hukum (APH) lantaran tak menyalahi aturan apa pun.
Namun, Aparat Pengawas Intern Pemerintah (APIP) bisa menindaklanjutinya sebagai dugaan pemborosan anggaran.
“Apakah ini bisa diatasi oleh APH? Nggak akan bisa, karena nggak ada yang salah aturannya. Tapi APIP bisa masuk, ini pemborosan,” ujar Tito.

Tito menyebut, APIP punya peran penting mengawasi internal pemerintah daerah. Sebab, ada ruang-ruang di internal pemerintahan yang tak bisa diawasi oleh aparat penegak hukum, khususnya terkait kebijakan.
Contohnya, dalam proyek pembuatan jalan di suatu kampung, jalan yang perlu dibangun hanya selebar 10 meter. Namun, praktiknya, jalan dibuat dengan lebar 20 meter.
Memang, kata Tito, tak ada yang salah dengan itu. Namun, sebetulnya, anggaran yang dipakai untuk membuat jalan 20 meter tersebut sebagian bisa dipakai untuk kepentingan pembangunan di daerah lain.
Tito mengatakan, aparat penegak hukum tak bisa menindak lantaran pembangunan itu bagian dari pelaksanaan kebijakan yang wewenangnya berada di tangan kepala daerah.
Baca juga: Firli Sebut 8 Kepala Daerah di Papua Jadi Tersangka Korupsi sejak 2008-2022
Namun, APIP sangat mungkin turun tangan dengan dalih pembangunan tersebut merupakan pemborosan.
""APH gak akan bisa masuk di sini karena apa, karena nggak ada yang dilanggar, ini adalah policy, kebijakan dari kepala daerah dan mereka memiliki kewenangan untuk itu, membuat jalan lebarnya 10 (meter), 20 (meter) itu suka-suka dia, sesuai dengan visi politiknya, janji kampanye, dan lain-lain. Tapi APIP bisa masuk, ini pemborosan,"" kata dia.
Tito mengatakan, APIP berperan menginventarisasi potensi masalah atau moral hazard potensi korupsi di jajaran pemerintah daerah, termasuk melakukan langkah-langkah pencegahan.
Mantan Kapolri itu bilang, pengawasan internal perlu diperkuat dan pemeritahan harus dipastikan terbuka guna mencegah terjadinya penyalahgunaan.
“Perlu dorongan political wish dari para kepala daerah para pimpinan daerah, ini penting sekali political wish untuk membuat sistem itu menjadi terbuka,” tutur dia.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel."
"Takut Dinyatakan Korupsi, Bank Sulselbar Tak Bisa Ganti Tabungan Rp 1 Miliar Nasabah di Mamuju yang Raib","MAMUJU, KOMPAS.com - Bank Sulselbar Cabang Mamuju menyatakan tak akan mengganti dana tabungan sebesar Rp 1 miliar dari enam nasabah yang raib usai diduga ditilap mantan pegawainya berinisial H sejak tahun 2022 lalu. 
Kepala Cabang Bank Sulselbar Mamuju Amri Mahmud mengatakan, bahwa penggantian tak bisa dilakukan pihaknya lantaran tabungan nasabah yang raib tersebut tidak tercatat di dalam sistem rekening bank. 
Hal itu membuat pihaknya kesulitan mengganti mengingat tidak memiliki landasan hukum. 
""Yang tidak tercatat kami tidak bisa identifikasi, nanti kami dikira membayar tanpa dasar, nanti bisa dinyatakan korupsi,"" ujar Amri, kepada Kompas.com melalui telepon, Kamis (9/3/2022). 
Baca juga: Kasus Raibnya Tabungan Nasabah Bank Sulselbar, Polisi Selidiki Keterlibatan Pihak Lain
Amri mengatakan, bahwa 31 nasabah lain yang telah mendapatkan pengembalian dana dari Bank Sulselbar karena sebelumnya tercatat di sistem bank. 
Pengembalian itu sudah sesuai dengan aturan dari pihak otoritas jasa keuangan (OJK).
Sementara itu, keenam nasabah, kata Amri, yang tidak mengalami penggantian karena hal itu merupakan tanggung jawab pribadi H. 
Untuk dia menyarankan keenam naaabah untuk menempuh jalur hukum jika ingin dana tabungannya diganti H. 
""Siapa tahu dari aset H yang disita itu bisa digunakan untuk kembalikan uang mereka,"" kata Amri. 
Sementara itu, salah satu nasabah yang belum menerima pengembalian bernama Nurmi mengaku kecewa dengan keputusan Bank Sulselbar Mamuju yang seakan lepas tangan dari kasus penipuan yang melibatkan karyawan mereka. 
Nurmi ragu pihak Bank Sulselbar tidak mengetahui kejahatan yang dilakukan oleh H mengingat setiap kali dia menyetor dana untuk ditabung, Nurmi selalu melakukannya di kantor Bank Sulselbar. 
Baca juga: Nasabah Tuntut Bank Sulselbar Mamuju Kembalikan Sisa Dana yang Raib Rp 1 Miliar
""Memang H pelakunya, tapi dia berbuat seperti itu karena dia karyawan bank baru dia atas namakan bank. Seandainya bukan pegawai bank, tidak mungkin kami mau dipengaruhi seperti itu,"" ujar Nurmi. 
Nurmi juga mengungkapkan kekecewaannya dikarenakan pihak bank Sulselbar seakan tidak menemukan kejanggalan cara H merekrut nasabah untuk mengikuti program tabungan di Bank Sulselbar."
"Diputus PTUN Tak Berhak Ikut Pemilu 2024, Prima Layangkan Peninjauan Kembali ke MA","JAKARTA, KOMPAS.com - Partai Rakyat Adil Makmur (Prima) juga tengah menempuh Peninjauan Kembali (PK) ke Mahkamah Agung atas putusan Pengadilan Tata Usaha Negara (PTUN) Jakarta 468/G/SPPU/2022/PTUN.JKT. Putusan PTUN itu dibacakan pada 19 Januari 2023,  yang pada intinya, menolak gugatan sengketa yang dilayangkan Prima atas Komisi Pemilihan Umum (KPU). Gugatan tersebut dilayangkan karena Prima tidak dapat lolos verifikasi administrasi sebagai peserta Pemilu 2024. Perkara ini berbeda dengan yang ditangani di Pengadilan Negeri Jakarta Pusat, di mana gugatan perdata Prima atas KPU dikabulkan seluruhnya. ""Iya, betul (mengajukan PK). Sekitar tanggal 2 atau 3 Februari,"" kata Wakil Ketua Umum Prima Alif Kamal, kepada Kompas.com pada Kamis (9/3/2023).
Baca juga: Prima Kritik Mahfud soal Putusan PN Jakpus: Nafsu dan Tidak Teliti Alif menyatakan bahwa PK ini diajukan hanya karena Prima masih ingin mencari keadilan. Prima disebut merasa belum mendapatkan rasa keadilan yang seharusnya diterima. Alif menambahkan, pihaknya juga merasa telah mengantongi bukti yang kuat untuk menang gugatan atas KPU. Bukti tersebut kurang lebih sama, yang belakangan dipertimbangkan oleh majelis hakim Pengadilan Negeri Jakarta Pusat (PN) pada gugatan yang berbeda untuk memenangkan Prima atas KPU. ""Seharusnya dengan beberapa bukti yang kami lampirkan, majelis hakim bisa memutuskan Prima untuk bisa ikut dalam proses Pemilu 2024,"" kata Alif. Ketua KPU RI Hasyim Asy'ari menyampaikan bahwa mereka juga akan meladeni upaya PK yang ditempuh oleh Prima atas putusan PTUN Jakarta di MA. ""Kami juga dalam waktu bersamaan menyiapkan, apa istilahnya, kontra memori Peninjauan Kembali. Ini sedang kita siapkan,"" ujar Hasyim, Kamis.
Baca juga: Pembelaan Partai Prima Usai Jadi Bulan-bulanan, Tolak Disebut Ingin Tunda Pemilu Gugatan nomor 468/G/SPPU/2022/PTUN.JKT yang diajukan Prima ke PTUN Jakarta pada 26 Desember 2022 merupakan gugatan sengketa kedua mereka  atas KPU ke PTUN. Gugatan pertama dilayangkan pada 30 November 2022 dan  dinyatakan tidak dapat diterima PTUN . Dalam gugatan sengketa keduanya ini, Prima ingin agar PTUN memerintahkan KPU mencabut berita acara tentang penetapan partai politik peserta Pemilu 2024 dan berita acara itu dinyatakan batal. Mereka juga ingin agar PTUN memerintahkan KPU supaya menerbitkan berita acara baru yang intinya menyatakan Prima sebagai peserta Pemilu 2024.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel."
Alasan Anak Korban Kebakaran Depo Plumpang Tanda Tangani Surat Pernyataan Tak Tuntut Pertamina,"JAKARTA, KOMPAS.com - Anak mendiang Iriana (61), Irianto (45) mengungkapkan alasan adiknya menandatangani surat pernyataan yang diduga dari PT Pertamina (Persero).
Sebagai informasi, Iriana merupakan salah satu korban yang meninggal dunia akibat kebakaran Depo Pertamina Plumpang pada Jumat (3/3/2023).
Saat adik Irianto tengah mengurus jenazah Iriana di Rumah Sakit Polri, Kramat Jati, Jakarta Timur pada Minggu (5/3/2023), ia disodorkan surat pernyataan.
Baca juga: Kisruh Surat Tak Tuntut Pertamina soal Kebakaran Depo Plumpang, Keluarga Korban Kecewa dan Menentang
Surat pernyataan tersebut berisi penerimaan uang yang disebut santunan senilai Rp 10 juta dan agar tidak menuntut PT Pertamina (Persero) atas peristiwa mengerikan tersebut.
""Kan yang waktu saya bilang pas wawancara, itu serangan psikologi, itu kalau kata orang kepolisian mah. Ya kan (dalam kondisi) lelah fisik, lelah mental,"" ucap Irianto saat ditemui di RT 06 RW 01, Rawa Badak Selatan, Koja, Jakarta Utara pada Rabu (9/3/2023).
Karena banyaknya pikiran tentang biaya pemakaman Iriana, kata Irianto, adiknya tersebut langsung menandatangani tanpa membaca isi surat pernyataan tersebut.
""Banyak pikiran tentang duit juga untuk biaya pemakaman, enggak punya, namanya kebakaran kan habis semua, enggak punya apa-apa. Kan butuh dana, orang kuburin kan harus punya dana nya. Dikasih duit, kan lumayan. Istilahnya buat bantu pemakaman,"" ungkap Irianto.
Setelah mengetahui isi dari surat pernyataan tersebut, Irianto mengingat bahwa ia dan keluarganya sangat kecewa dengan Pertamina.
Baca juga: Kegeraman Keluarga Korban Tewas Kebakaran Plumpang Usai Disodori Surat Pernyataan Tak Tuntut Pertamina
Pasalnya, kata Irianto, Pertamina pandai memanfaatkan celah korban kebakaran ini.
""Dia ngomong baik (saat menyodorkan surat pernyataan), ngomong 'jangan percaya omongan di luar'. Ya namanya orang fasih kalau buat lobby, cara ngomong, bisalah,"" tutur Irianto."
,"KYIV, KOMPAS.com - Rusia disebut telah meluncurkan rudal ke target di seluruh Ukraina, dari Kharkiv di utara hingga Odesa di selatan dan Zhytomyr di barat.
Bangunan dan infrastruktur perumahan di Kharkiv dan Odesa jadi target. Pemadaman listrik pun terjadi di beberapa daerah.
Serangan itu terjadi saat pertempuran sengit berlanjut untuk kota Bakhmut di Ukraina timur.
Baca juga: Viral Video Tentara Ukraina Tewas Dieksekusi Rusia, Identitasnya Simpang Siur
Dilansir dari BBC, Presiden Rusia Vladimir Putin meluncurkan invasinya lebih dari setahun yang lalu.
Sejak itu puluhan ribu pejuang dan warga sipil telah terbunuh atau terluka dan jutaan orang Ukraina menjadi pengungsi.
Serangan rudal massal menghantam fasilitas energi di kota pelabuhan Odesa, memicu pemadaman listrik, kata Gubernur Maksym Marchenko.
Daerah perumahan juga terkena tetapi tidak ada korban yang dilaporkan, tambahnya.
Serangan juga menghantam kota dan wilayah Kharkiv, dengan fasilitas infrastruktur kritis dan bangunan tempat tinggal yang ditargetkan, kata kepala administrasi regional Oleg Synegubov.
		
		googletag.cmd.push(function() { googletag.display('div-gpt-for-outstream'); });		
	





    window._jxosm = window._jxosm || [];
    window._jxosm.push({
        unit: ""1000008-iT3q5Ci4Ry"",
        selectors: ["".osmplaceonsite p:last""],
        fixedheight: 400,
        excludedheight: 100
    });



Baca berita tanpa iklan. Gabung Kompas.com+

Wilayah lain yang terkena termasuk Vynnytsia dan Rivne di barat, dan Dnipro dan Poltava di tengah.
Direktur Intelijen Nasional AS, Avril Haines, menyebut pada hari Rabu (8/3/2023) bahwa Presiden Putin mungkin berencana untuk menyeret perang selama bertahun-tahun tetapi Rusia tidak cukup kuat untuk meluncurkan serangan baru yang besar tahun ini.
Baca juga: Rangkuman Hari Ke-378 Serangan Rusia ke Ukraina: Wagner Rebut Timur Bakhmut | Video Eksekusi Tentara"
Serangan Rudal Rusia Gempur Seluruh Ukraina,"KYIV, KOMPAS.com - Rusia disebut telah meluncurkan rudal ke target di seluruh Ukraina, dari Kharkiv di utara hingga Odesa di selatan dan Zhytomyr di barat.
Bangunan dan infrastruktur perumahan di Kharkiv dan Odesa jadi target. Pemadaman listrik pun terjadi di beberapa daerah.
Serangan itu terjadi saat pertempuran sengit berlanjut untuk kota Bakhmut di Ukraina timur.
Baca juga: Viral Video Tentara Ukraina Tewas Dieksekusi Rusia, Identitasnya Simpang Siur
Dilansir dari BBC, Presiden Rusia Vladimir Putin meluncurkan invasinya lebih dari setahun yang lalu.
Sejak itu puluhan ribu pejuang dan warga sipil telah terbunuh atau terluka dan jutaan orang Ukraina menjadi pengungsi.
Serangan rudal massal menghantam fasilitas energi di kota pelabuhan Odesa, memicu pemadaman listrik, kata Gubernur Maksym Marchenko.
Daerah perumahan juga terkena tetapi tidak ada korban yang dilaporkan, tambahnya.
Serangan juga menghantam kota dan wilayah Kharkiv, dengan fasilitas infrastruktur kritis dan bangunan tempat tinggal yang ditargetkan, kata kepala administrasi regional Oleg Synegubov.
		
		googletag.cmd.push(function() { googletag.display('div-gpt-for-outstream'); });		
	





    window._jxosm = window._jxosm || [];
    window._jxosm.push({
        unit: ""1000008-iT3q5Ci4Ry"",
        selectors: ["".osmplaceonsite p:last""],
        fixedheight: 400,
        excludedheight: 100
    });



Baca berita tanpa iklan. Gabung Kompas.com+

Wilayah lain yang terkena termasuk Vynnytsia dan Rivne di barat, dan Dnipro dan Poltava di tengah.
Direktur Intelijen Nasional AS, Avril Haines, menyebut pada hari Rabu (8/3/2023) bahwa Presiden Putin mungkin berencana untuk menyeret perang selama bertahun-tahun tetapi Rusia tidak cukup kuat untuk meluncurkan serangan baru yang besar tahun ini.
Baca juga: Rangkuman Hari Ke-378 Serangan Rusia ke Ukraina: Wagner Rebut Timur Bakhmut | Video Eksekusi Tentara"
